Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000233,2018-01-21,2018-01-21,"Pulp Fiction (1994),
Reservoir Dogs (1992),
Inglourious Basterds (2009),
Django Unchained (2012)
",Quentin Tarantino,Reservoir Dogs,1963-03-27
2,nm0634240,2018-01-21,2018-01-21,"Insomnia (2002),
The Prestige (2006),
The Dark Knight (2008),
Inception (2010),
Intersteller (2014),
Dunkrik (2017)",Christopher Nolan,The Prestige,1970-07-30
3,nm0000217,2018-01-21,2018-01-21,"Taxi Driver (1976),
Goodfellas (1990),
The Aviator (2004),
The Departed (2006),
Shutter Island (2010),
The Wolf of Wall Street (2013),
Silence (2016)",Martin Scorsese,Taxi Driver,1942-11-17
4,nm0898288,2018-01-21,2018-01-21,"Prisoners (2013),
Enemy (2013),
Arrival (2016),
Blade Runner 2049 (2017)",Denis Villeneuve,Blade Runner 2049,1967-10-03
5,nm0891216,2018-01-21,2018-01-21,"Layer Cake (2004),
Kick-Ass (2010),
X-Men: First Class (2011),
Kingsman: The Secret Service (2014),
Kingsman: The Golden Circle (2017)",Matthew Vaughn,Kick-Ass,1971-03-07
6,nm0005363,2018-01-21,2018-01-21,"Lock, Stock and Two Smoking Barrels (1998),
Snatch (2000),
Revolver (2005),
RocknRolla (2008),
Sherlock Holmes (2009),
Sherlock Holmes: A Game of Shadows (2011),
King Arthur: Legend of the Sword (2017)
",Guy Ritchie,Sherlock Holmes,1968-09-10
7,nm0905154,2018-01-21,2018-01-21,"The Matrix (1999),
The Matrix Reloaded (2003),
Matrix Revolutions (2003),
Cloud Atlas (2012),
Jupiter Ascending (2015),
Sense8 (2015-2018)",Lana Wachowski,The Matrix,1965-06-21
8,nm0905152,2018-01-21,2018-01-21,"The Matrix (1999),
The Matrix Reloaded (2003),
Matrix Revolutions (2003),
Cloud Atlas (2012),
Jupiter Ascending (2015),
Sense8 (2015-2018),
",Lilly Wachowski,The Matrix,1967-12-29
9,nm0000116,2018-01-21,2018-01-21,"The Terminator (1984),
Terminator 2 (1991),
True Lies (1994),
Titanic (1997),
Avatar (2009)
",James Cameron,Avatar,1954-08-16
10,nm0640334,2018-01-21,2018-01-21,"Warrior (2011),
The Accountant (2016)",Gavin O'Connor,The Accountant,1963-12-24
11,nm0067457,2018-01-21,2018-01-21,"Night Watch and Day Watch,
Wanted (2008),
9 (2009),
Abraham Lincoln: Vampire Hunter (2012)",Timur Bekmambetov,Nochnoy dozor,1961-06-25
12,nm0000600,2018-01-21,2018-01-21,Spider-Man 1 - 3,Sam Raimi,Spider-Man,1959-10-23
13,nm0269463,2018-01-21,2018-01-21,"Iron Man (2008),
Iron Man 2 (2012),
Chef (2014),
The Jungle Book (2016)",Jon Favreau,Chef,1966-10-19
14,nm0001741,2018-01-21,2018-01-21,"X-Men (2000),
X-Men 2 (2003),
Superman Returns (2006),
Valkyrie (2008),
X-Men: Days of Future Past (2014),
X-Men: Apocalypse (2016),
The Gifted (2017)",Bryan Singer,X-Men,1965-09-17
15,nm0751577,2018-01-21,2018-01-21,"Arrested Development (2003 - 2005),
Happy Endings (2011),
Community (2009 - 2011),
Captain America: The Winter Soldier (2014),
Captain America: Civil War (2016),
Avengers: Infinity War (2018)",Anthony Russo,Avengers: Endgame,1970-02-03
